Location(x=352.855316, y=326.608887, z=0.000242)
Location(x=352.532166, y=326.608887, z=0.000309)
Location(x=352.213776, y=326.608887, z=0.000330)
Location(x=351.910553, y=326.608887, z=0.000333)
Location(x=351.613708, y=326.608887, z=0.000320)
Location(x=351.319244, y=326.608887, z=0.000324)
Location(x=351.024872, y=326.608887, z=0.000340)
Location(x=350.717621, y=326.608948, z=0.000361)
Location(x=350.375397, y=326.608948, z=0.000349)
Location(x=350.037720, y=326.608948, z=0.000338)
Location(x=349.729004, y=326.608948, z=0.000336)
Location(x=349.424011, y=326.608948, z=0.000285)
Location(x=349.156281, y=326.608948, z=0.000305)
Location(x=348.885254, y=326.608948, z=0.000303)
Location(x=348.611633, y=326.608948, z=0.000317)
Location(x=348.332794, y=326.608948, z=0.000354)
Location(x=348.039001, y=326.608948, z=0.000382)
Location(x=347.675507, y=326.608948, z=0.000431)
Location(x=347.372894, y=326.608948, z=0.000397)
Location(x=347.119019, y=326.608948, z=0.000371)
Location(x=346.864655, y=326.608978, z=0.000347)
Location(x=346.613129, y=326.608978, z=0.000354)
Location(x=346.348053, y=326.609070, z=0.000369)
Location(x=346.064301, y=326.609222, z=0.000383)
Location(x=345.761414, y=326.609283, z=0.000401)
Location(x=345.431946, y=326.609253, z=0.000566)
Location(x=345.098267, y=326.609283, z=0.000605)
Location(x=344.759613, y=326.609283, z=0.000591)
Location(x=344.402100, y=326.609283, z=0.000569)
Location(x=344.040588, y=326.609283, z=0.000555)
Location(x=343.656036, y=326.609253, z=0.000550)
Location(x=343.266327, y=326.609283, z=0.000532)
Location(x=342.858887, y=326.609283, z=0.000519)
Location(x=342.424530, y=326.609375, z=0.000542)
Location(x=341.952820, y=326.609467, z=0.000560)
Location(x=341.463623, y=326.609467, z=0.000566)
Location(x=340.924438, y=326.609619, z=0.000563)
Location(x=340.374237, y=326.609772, z=0.000547)
Location(x=339.832184, y=326.609924, z=0.000518)
Location(x=339.308167, y=326.610046, z=0.000486)
Location(x=338.805115, y=326.610138, z=0.000460)
Location(x=338.320648, y=326.610138, z=0.000443)
Location(x=337.841431, y=326.610107, z=0.000434)
Location(x=337.370331, y=326.610107, z=0.000432)
Location(x=336.905853, y=326.610077, z=0.000437)
Location(x=336.417328, y=326.610077, z=0.000449)
Location(x=335.899994, y=326.610077, z=0.000466)
Location(x=335.250458, y=326.610077, z=0.000484)
Location(x=334.727448, y=326.610077, z=0.000494)
Location(x=334.179565, y=326.610077, z=0.000490)
Location(x=333.654999, y=326.610077, z=0.000476)
Location(x=333.124481, y=326.610077, z=0.000459)
Location(x=332.638123, y=326.610077, z=0.000447)
Location(x=332.153809, y=326.610077, z=0.000439)
Location(x=331.687653, y=326.610077, z=0.000436)
Location(x=331.198853, y=326.610077, z=0.000441)
Location(x=330.678467, y=326.610046, z=0.000452)
Location(x=330.185425, y=326.610046, z=0.000466)
Location(x=329.664001, y=326.610046, z=0.000482)
Location(x=329.110840, y=326.610046, z=0.000488)
Location(x=328.479706, y=326.610046, z=0.000482)
Location(x=327.926971, y=326.610046, z=0.000468)
Location(x=327.381104, y=326.610046, z=0.000454)
Location(x=326.842377, y=326.610046, z=0.000443)
Location(x=326.296722, y=326.610046, z=0.000437)
Location(x=325.773071, y=326.610046, z=0.000439)
Location(x=325.232208, y=326.610046, z=0.000449)
Location(x=324.697449, y=326.610046, z=0.000464)
Location(x=324.143188, y=326.610046, z=0.000480)
Location(x=323.584045, y=326.610046, z=0.000490)
Location(x=323.031952, y=326.610046, z=0.000490)
Location(x=322.473419, y=326.610016, z=0.000479)
Location(x=321.907990, y=326.609863, z=0.000462)
Location(x=321.377106, y=326.609772, z=0.000448)
Location(x=320.859375, y=326.609772, z=0.000439)
Location(x=320.372925, y=326.609772, z=0.000436)
Location(x=319.886169, y=326.609772, z=0.000440)
Location(x=319.387390, y=326.609772, z=0.000451)
Location(x=318.866394, y=326.609711, z=0.000466)
Location(x=318.306122, y=326.609589, z=0.000480)
Location(x=317.800873, y=326.609589, z=0.000488)
Location(x=317.250610, y=326.609528, z=0.000487)
Location(x=316.616547, y=326.609375, z=0.000472)
Location(x=316.054199, y=326.609253, z=0.000456)
Location(x=315.482971, y=326.609100, z=0.000443)
Location(x=314.925415, y=326.608978, z=0.000436)
Location(x=314.374634, y=326.608887, z=0.000438)
Location(x=313.831604, y=326.608887, z=0.000449)
Location(x=313.291443, y=326.608826, z=0.000465)
Location(x=312.737976, y=326.608673, z=0.000480)
Location(x=312.187744, y=326.608582, z=0.000489)
Location(x=311.613586, y=326.608582, z=0.000487)
Location(x=311.049103, y=326.608582, z=0.000476)
Location(x=310.496246, y=326.608704, z=0.000461)
Location(x=309.967407, y=326.608765, z=0.000448)
Location(x=309.473694, y=326.608765, z=0.000440)
Location(x=308.992584, y=326.608765, z=0.000438)
Location(x=308.510956, y=326.608765, z=0.000443)
Location(x=308.025757, y=326.608765, z=0.000454)
Location(x=307.533051, y=326.608765, z=0.000468)
Location(x=307.024384, y=326.608765, z=0.000481)
Location(x=306.505890, y=326.608765, z=0.000486)
Location(x=305.953827, y=326.608765, z=0.000481)
Location(x=305.426697, y=326.608765, z=0.000469)
Location(x=304.887939, y=326.608765, z=0.000456)
Location(x=304.374756, y=326.608765, z=0.000445)
Location(x=303.873474, y=326.608765, z=0.000440)
Location(x=303.361084, y=326.608765, z=0.000441)
Location(x=302.854889, y=326.608765, z=0.000449)
Location(x=302.372223, y=326.608765, z=0.000462)
Location(x=301.881348, y=326.608765, z=0.000478)
Location(x=301.356079, y=326.608765, z=0.000488)
Location(x=300.822266, y=326.608765, z=0.000486)
Location(x=300.310608, y=326.608765, z=0.000476)
Location(x=299.792908, y=326.608765, z=0.000462)
Location(x=299.287598, y=326.608765, z=0.000450)
Location(x=298.795044, y=326.608765, z=0.000441)
Location(x=298.317963, y=326.608765, z=0.000439)
Location(x=297.832397, y=326.608765, z=0.000442)
Location(x=297.354401, y=326.608765, z=0.000453)
Location(x=296.876678, y=326.608765, z=0.000467)
Location(x=296.375946, y=326.608887, z=0.000480)
Location(x=295.862427, y=326.609070, z=0.000486)
Location(x=295.350708, y=326.609222, z=0.000483)
Location(x=294.822906, y=326.609375, z=0.000471)
Location(x=294.332062, y=326.609528, z=0.000459)
Location(x=293.837982, y=326.609680, z=0.000448)
Location(x=293.365631, y=326.609833, z=0.000441)
Location(x=292.886292, y=326.609985, z=0.000441)
Location(x=292.411926, y=326.610138, z=0.000446)
Location(x=291.921173, y=326.610138, z=0.000458)
Location(x=291.418793, y=326.610138, z=0.000471)
